Dirección,latitud,longitud
Eje 2 Ote y Eje 2 Nte,19.450028,-99.115806
Eje 6 sur,19.36451886,-99.06762138
Guelatao,19.36143002,-99.04039807
Vicente Guerrero,19.3589497,-99.02731395
Fray Servando y Circunvalaci�n,19.422974,-99.126068
Fray Servando y Circunvalaci�n,19.4256312,-99.15116469
Fray Servando y Circunvalaci�n,19.42414684,-99.13754718
Fray Servando y Circunvalaci�n,19.42325953,-99.12917065
Las bombas,19.30657664,-99.10032171
Marina Nacional y Lago Bolsena,19.445171,-99.179936
Eje 2 Ote y Eje 8 Sur,19.357545,-99.122022
Eje 8 Sur y Los Reyes,19.356144,-99.100532
Eje 8 Sur y Puente Titla,19.356547,-99.098374
Lago Trasimeno,19.44741209,-99.18244884
Nezahualcoyotl,19.42497217,-99.13322309
Tezontle,19.3877214,-99.10839611
V�a Lactea y Ermita Iztapalapa,19.358442,-99.130107
Eje 8 Sur y Av. Palmitas,19.344827,-99.02532
Eje 8 Sur y Av. de las Minas,19.345423,-99.020904
Las bombas,19.31173619,-99.11494539
Tezontle,19.3869741,-99.10548281
Tezontle,19.38649523,-99.10368158
Eje 1 y J. M. �greda y Sanch�z,19.415538,-99.128
Eje 2 Ote y Aluminio,19.451386,-99.115472
Eje 6 sur,19.36897607,-99.10113932
Eje 6 sur,19.36692189,-99.09197213
Carlos L Gracida,19.36223597,-99.04898523
Eje 8 Sur y Gral. Anaya,19.355819,-99.102273
San Antonio Abad y Tlaxcoaque,19.422613,-99.133527
Eje 2 Ote y Viaducto,19.405021,-99.122279
Eje 6 sur,19.36685175,-99.08911006
Eje 6 sur,19.3657312,-99.07021012
Eje 8 Sur y Eje 6 Sur,19.352375,-99.015294
Las bombas,19.30935111,-99.10590718
Mariano Escobedo y M�xico Tacuba,19.456411,-99.180365
Tezontle,19.38618629,-99.10224833
Tezontle,19.3839466,-99.09289936
Eje 1 y Zoquipan,19.418697,-99.127502
Miramontes y Calz. Del Hueso,19.304097,-99.124907
Plan de Ayala,19.36030786,-99.0316096
Las bombas,19.30828718,-99.13464903
Mariano Escobedo y F. Carrillo Puerto,19.451091,-99.181818
Eje 1 y Boturini,19.41739,-99.127714
M Cuevas,19.36379194,-99.06306328
Eje 8 Sur y Reforma Aeron�utica,19.344278,-99.027962
Eje 8 Sur y Estrella,19.358665,-99.089916
Eje 8 Sur y F. Sarabia,19.35586,-99.085783
Las bombas,19.30862873,-99.13328364
Las bombas,19.30728334,-99.13250688
Marina Nacional y Laguna de Mayran,19.440721,-99.1762
Tezontle,19.38572359,-99.1004433
Eje 6 sur,19.36833315,-99.07474976
Combate de Le�n,19.36355687,-99.06107069
Fundici�n,19.35253371,-99.07856416
Eje 8 y E. Corona,19.357747,-99.093403
Eje 8 Sur y Ayuntamiento,19.358111,-99.092069
Las bombas,19.31020896,-99.10797552
Marina Nacional y Lago Garda,19.449383,-99.182086
Tezontle,19.38512744,-99.09803924
Eje 2 Ote y Agust�n Ya�ez,19.366088,-99.12233
Eje 6 sur,19.3674972,-99.07338358
Fray Servando y Circunvalaci�n,19.41995619,-99.11207007
Las bombas,19.30979411,-99.12908834
Las bombas,19.3092573,-99.13111136
Marina Nacional y Mariano Escobedo,19.448535,-99.182403
Tezontle,19.38793636,-99.10940153
Sidar y Rovirosa,19.42773533,-99.11963165
Fray Servando y Circunvalaci�n,19.42353886,-99.13096432
Mariano Escobedo y Lago Bolsena,19.44552,-99.182671
Marina Nacional y Ferrocarril de Cuernavaca,19.447244,-99.181365
San Antonio Abad y Fray Servando,19.423651,-99.133383
Eje 2 Ote y Cto. Interior,19.36923,-99.122462
Eje 2 Ote y Eje 3 Sur,19.40918,-99.121626
Eje 6 sur,19.37181941,-99.10292034
Eje 6 sur,19.36953043,-99.07698279
Campa�a del Ebano,19.36271575,-99.05349514
M�xico,19.356725,-99.02302573
Eje 8 Sur y San Felipe/San Lorenzo,19.35062005,-99.07385917
Mariano Escobedo y Lago Alberto,19.439771,-99.183511
Eje 2 Ote y Rodolfo Usigli,19.363697,-99.122092
Eje 2 Ote y Peluqueros,19.446476,-99.1167
Fray Servando y Circunvalaci�n,19.42439325,-99.13975883
Tezontle,19.38470768,-99.09601368
Eje 1 y Av. Del Taller,19.413418,-99.128254
Eje 2 Ote y Alfonso del Toro,19.368044,-99.122203
Eje 6 sur,19.36768452,-99.09816925
Eje 6 sur,19.36729079,-99.09679732
Eje 6 sur,19.37158327,-99.08026422
Eje 6 sur,19.36649628,-99.07159522
Eje 8 Sur Pascual Garc�a,19.357084,-99.095852
Fray Servando y Circunvalaci�n,19.42316091,-99.1282651
Las bombas,19.31163536,-99.12001222
Las bombas,19.31116292,-99.12401601
Marinao Escobedo y Mar Negro,19.455175,-99.181098
San Antponio Abad y Chimalpopoca,19.422252,-99.133765
Eje 2 Ote y Circunvalaci�n,19.444283,-99.11748
Eje 6 sur,19.36686308,-99.08693139
Eje 8 Sur y Primavera,19.349952,-99.01764
Fray Servando y Circunvalaci�n,19.42549364,-99.14928476
Laguna de Mayran,19.44163235,-99.18332537
Mariano Escobedo y Laguna de Termino,19.443611,-99.182948
San Antonio Abad e Izazaga,19.425953,-99.133068
Eje 2 Ote y Guillermo Prieto,19.406886,-99.121583
Deportivo Cuitl�huac,19.36147733,-99.04499355
Cuauht�moc,19.35416127,-99.01831354
Eje 8 Sur y Rojo G�mez,19.356597,-99.086482
Las bombas,19.30715133,-99.10137774
Las bombas,19.31075099,-99.12539583
Marina Nacional y Laguna de Terminos,19.442924,-99.177825
